_id,year,county,hospital,oshpdid,system,type of report,performance measure,# of adverse events,# of cases,risk-adjusted rate,hospital ratings,latitude,longitude
9267,2019,Los Angeles,PIH Health Good Samaritan Hospital,106190392,Independent/Other,IMI,Acute Stroke,85.0,670.0,10.4,Worse,34.05324,-118.265
9269,2019,Los Angeles,PIH Health Good Samaritan Hospital,106190392,Independent/Other,IMI,AAA Repair Endo Unrupture,0.0,9.0,0.0,As Expected,34.05324,-118.265
9270,2019,Los Angeles,PIH Health Good Samaritan Hospital,106190392,Independent/Other,CABG,Isolated CABG Operative Mor,3.0,100.0,3.808674,As Expected,34.05,-118.27
9271,2019,Los Angeles,PIH Health Good Samaritan Hospital,106190392,Independent/Other,PSI,Postoperative Sepsis,7.0,993.0,0.63,As Expected,34.05324,-118.265
9272,2019,Los Angeles,Huntington Hospital,106190400,Independent/Other,IMI,Heart Failure,13.0,633.0,2.0,As Expected,34.13565,-118.151
9273,2019,Los Angeles,Huntington Hospital,106190400,Independent/Other,IMI,Pneumonia,8.0,513.0,1.7,As Expected,34.13565,-118.151
9274,2019,Los Angeles,Huntington Hospital,106190400,Independent/Other,IMI,PCI,8.0,239.0,2.7,As Expected,34.13565,-118.151
9275,2019,Los Angeles,Huntington Hospital,106190400,Independent/Other,IMI,Pancreatic Resection,2.0,36.0,4.5,As Expected,34.13565,-118.151
9276,2019,Los Angeles,Huntington Hospital,106190400,Independent/Other,IMI,Hip Fracture,0.0,227.0,0.0,Better,34.13565,-118.151
9277,2019,Los Angeles,Huntington Hospital,106190400,Independent/Other,IMI,GI Hemorrhage,8.0,459.0,1.8,As Expected,34.13565,-118.151
9278,2019,Los Angeles,Huntington Hospital,106190400,Independent/Other,IMI,Carotid Endarterectomy,0.0,17.0,0.0,As Expected,34.13565,-118.151
9279,2019,Los Angeles,Huntington Hospital,106190400,Independent/Other,IMI,AMI,12.0,273.0,4.1,As Expected,34.13565,-118.151
9280,2019,Los Angeles,Huntington Hospital,106190400,Independent/Other,IMI,Acute Stroke Subarachnoid,3.0,21.0,24.5,As Expected,34.13565,-118.151
9281,2019,Los Angeles,Huntington Hospital,106190400,Independent/Other,IMI,Acute Stroke Ischemic,18.0,363.0,4.8,As Expected,34.13565,-118.151
9282,2019,Los Angeles,Huntington Hospital,106190400,Independent/Other,IMI,Acute Stroke Hemorrhagic,30.0,114.0,21.9,As Expected,34.13565,-118.151
9283,2019,Los Angeles,Huntington Hospital,106190400,Independent/Other,IMI,Acute Stroke,51.0,498.0,9.1,As Expected,34.13565,-118.151
9285,2019,Los Angeles,Huntington Hospital,106190400,Independent/Other,IMI,AAA Repair Endo Unrupture,0.0,12.0,0.0,As Expected,34.13565,-118.151
9286,2019,Los Angeles,Huntington Hospital,106190400,Independent/Other,CABG,Isolated CABG Operative Mor,0.0,96.0,0.0,As Expected,34.14,-118.15
9287,2019,Los Angeles,Huntington Hospital,106190400,Independent/Other,PSI,Postoperative Sepsis,9.0,3722.0,0.29,As Expected,34.13565,-118.151
9291,2019,Los Angeles,Emanate Health Inter – Community Hospital,106190413,Independent/Other,IMI,PCI,14.0,352.0,5.3,As Expected,34.08993,-117.892
9292,2019,Los Angeles,Emanate Health Inter – Community Hospital,106190413,Independent/Other,IMI,Heart Failure,13.0,414.0,5.1,Worse,34.08993,-117.892
9293,2019,Los Angeles,Emanate Health Inter – Community Hospital,106190413,Independent/Other,IMI,Hip Fracture,2.0,86.0,3.1,As Expected,34.08993,-117.892
9294,2019,Los Angeles,Emanate Health Inter – Community Hospital,106190413,Independent/Other,CABG,Isolated CABG Operative Mor,6.0,159.0,3.387638,As Expected,34.09,-117.89
9295,2019,Los Angeles,Emanate Health Inter – Community Hospital,106190413,Independent/Other,IMI,AAA Repair Endo Unrupture,0.0,19.0,0.0,As Expected,34.08993,-117.892
9296,2019,Los Angeles,Emanate Health Inter – Community Hospital,106190413,Independent/Other,PSI,Postoperative Sepsis,4.0,645.0,0.62,As Expected,34.08993,-117.892
9297,2019,Los Angeles,Emanate Health Inter – Community Hospital,106190413,Independent/Other,IMI,Acute Stroke Ischemic,2.0,65.0,7.6,As Expected,34.08993,-117.892
9298,2019,Los Angeles,Emanate Health Inter – Community Hospital,106190413,Independent/Other,IMI,Acute Stroke,7.0,75.0,14.4,As Expected,34.08993,-117.892
9299,2019,Los Angeles,Emanate Health Inter – Community Hospital,106190413,Independent/Other,IMI,Pneumonia,6.0,229.0,2.8,As Expected,34.08993,-117.892
9300,2019,Los Angeles,Emanate Health Inter – Community Hospital,106190413,Independent/Other,IMI,GI Hemorrhage,5.0,234.0,4.4,As Expected,34.08993,-117.892
9301,2019,Los Angeles,Emanate Health Inter – Community Hospital,106190413,Independent/Other,IMI,AMI,34.0,523.0,10.2,Worse,34.08993,-117.892
9302,2019,Los Angeles,Emanate Health Inter – Community Hospital,106190413,Independent/Other,IMI,Carotid Endarterectomy,2.0,22.0,6.7,Worse,34.08993,-117.892
9303,2019,Los Angeles,Emanate Health Inter – Community Hospital,106190413,Independent/Other,IMI,Acute Stroke Hemorrhagic,5.0,10.0,34.6,As Expected,34.08993,-117.892
9304,2019,Los Angeles,Torrance Memorial Medical Center,106190422,Cedars-Sinai Health System,IMI,Hip Fracture,6.0,236.0,2.3,As Expected,33.81191,-118.343
9305,2019,Los Angeles,Torrance Memorial Medical Center,106190422,Cedars-Sinai Health System,IMI,Heart Failure,29.0,1086.0,2.7,As Expected,33.81191,-118.343
9306,2019,Los Angeles,Torrance Memorial Medical Center,106190422,Cedars-Sinai Health System,IMI,GI Hemorrhage,6.0,579.0,1.3,As Expected,33.81191,-118.343
9307,2019,Los Angeles,Torrance Memorial Medical Center,106190422,Cedars-Sinai Health System,IMI,AMI,39.0,474.0,6.5,As Expected,33.81191,-118.343
9308,2019,Los Angeles,Torrance Memorial Medical Center,106190422,Cedars-Sinai Health System,IMI,Acute Stroke Subarachnoid,3.0,14.0,25.3,As Expected,33.81191,-118.343
9309,2019,Los Angeles,Torrance Memorial Medical Center,106190422,Cedars-Sinai Health System,IMI,Acute Stroke Ischemic,27.0,467.0,8.3,Worse,33.81191,-118.343
9310,2019,Los Angeles,Torrance Memorial Medical Center,106190422,Cedars-Sinai Health System,IMI,Acute Stroke,52.0,595.0,11.2,Worse,33.81191,-118.343
9312,2019,Los Angeles,Torrance Memorial Medical Center,106190422,Cedars-Sinai Health System,IMI,AAA Repair Endo Unrupture,0.0,21.0,0.0,As Expected,33.81191,-118.343
9313,2019,Los Angeles,Torrance Memorial Medical Center,106190422,Cedars-Sinai Health System,IMI,Pancreatic Resection,0.0,10.0,0.0,As Expected,33.81191,-118.343
9314,2019,Los Angeles,Torrance Memorial Medical Center,106190422,Cedars-Sinai Health System,IMI,Pneumonia,12.0,445.0,2.6,As Expected,33.81191,-118.343
9315,2019,Los Angeles,Torrance Memorial Medical Center,106190422,Cedars-Sinai Health System,IMI,PCI,31.0,409.0,4.8,As Expected,33.81191,-118.343
9316,2019,Los Angeles,Torrance Memorial Medical Center,106190422,Cedars-Sinai Health System,IMI,Carotid Endarterectomy,0.0,24.0,0.0,As Expected,33.81191,-118.343
9317,2019,Los Angeles,Torrance Memorial Medical Center,106190422,Cedars-Sinai Health System,IMI,Acute Stroke Hemorrhagic,22.0,114.0,20.4,As Expected,33.81191,-118.343
9318,2019,Los Angeles,Torrance Memorial Medical Center,106190422,Cedars-Sinai Health System,PSI,Postoperative Sepsis,12.0,3208.0,0.5,As Expected,33.81191,-118.343
9319,2019,Los Angeles,Torrance Memorial Medical Center,106190422,Cedars-Sinai Health System,CABG,Isolated CABG Operative Mor,1.0,61.0,2.741923,As Expected,33.81,-118.34
9320,2019,Los Angeles,Kaiser Foundation Hospital – Los Angeles,106190429,Kaiser Foundation Hospitals,IMI,Carotid Endarterectomy,0.0,17.0,0.0,As Expected,34.09875,-118.295
9321,2019,Los Angeles,Kaiser Foundation Hospital – Los Angeles,106190429,Kaiser Foundation Hospitals,IMI,Pancreatic Resection,0.0,32.0,0.0,As Expected,34.09875,-118.295
9322,2019,Los Angeles,Kaiser Foundation Hospital – Los Angeles,106190429,Kaiser Foundation Hospitals,IMI,Pneumonia,5.0,137.0,2.9,As Expected,34.09875,-118.295
9323,2019,Los Angeles,Kaiser Foundation Hospital – Los Angeles,106190429,Kaiser Foundation Hospitals,IMI,PCI,17.0,830.0,3.3,As Expected,34.09875,-118.295
9324,2019,Los Angeles,Kaiser Foundation Hospital – Los Angeles,106190429,Kaiser Foundation Hospitals,IMI,Hip Fracture,2.0,142.0,1.6,As Expected,34.09875,-118.295
9325,2019,Los Angeles,Kaiser Foundation Hospital – Los Angeles,106190429,Kaiser Foundation Hospitals,IMI,Heart Failure,29.0,631.0,3.4,As Expected,34.09875,-118.295
9326,2019,Los Angeles,Kaiser Foundation Hospital – Los Angeles,106190429,Kaiser Foundation Hospitals,IMI,GI Hemorrhage,5.0,306.0,1.8,As Expected,34.09875,-118.295
9327,2019,Los Angeles,Kaiser Foundation Hospital – Los Angeles,106190429,Kaiser Foundation Hospitals,IMI,AMI,40.0,1485.0,3.4,Better,34.09875,-118.295
9328,2019,Los Angeles,Kaiser Foundation Hospital – Los Angeles,106190429,Kaiser Foundation Hospitals,IMI,Acute Stroke Subarachnoid,9.0,70.0,17.0,As Expected,34.09875,-118.295
9329,2019,Los Angeles,Kaiser Foundation Hospital – Los Angeles,106190429,Kaiser Foundation Hospitals,IMI,Acute Stroke Ischemic,27.0,479.0,5.3,As Expected,34.09875,-118.295
9330,2019,Los Angeles,Kaiser Foundation Hospital – Los Angeles,106190429,Kaiser Foundation Hospitals,IMI,Acute Stroke,81.0,812.0,9.1,As Expected,34.09875,-118.295
9331,2019,Los Angeles,Kaiser Foundation Hospital – Los Angeles,106190429,Kaiser Foundation Hospitals,IMI,AAA Repair Open Unrupture,0.0,8.0,0.0,As Expected,34.09875,-118.295
9332,2019,Los Angeles,Kaiser Foundation Hospital – Los Angeles,106190429,Kaiser Foundation Hospitals,IMI,AAA Repair Endo Unrupture,0.0,10.0,0.0,As Expected,34.09875,-118.295
9333,2019,Los Angeles,Kaiser Foundation Hospital – Los Angeles,106190429,Kaiser Foundation Hospitals,PSI,Postoperative Sepsis,26.0,4192.0,0.38,As Expected,34.09875,-118.295
9334,2019,Los Angeles,Kaiser Foundation Hospital – Los Angeles,106190429,Kaiser Foundation Hospitals,CABG,Isolated CABG Operative Mor,14.0,765.0,2.295221,As Expected,34.1,-118.3
9335,2019,Los Angeles,Kaiser Foundation Hospital – Los Angeles,106190429,Kaiser Foundation Hospitals,IMI,Acute Stroke Hemorrhagic,45.0,263.0,22.6,As Expected,34.09875,-118.295
9337,2019,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,Kaiser Foundation Hospitals,IMI,Pancreatic Resection,0.0,21.0,0.0,As Expected,33.78926,-118.293
9338,2019,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,Kaiser Foundation Hospitals,IMI,Hip Fracture,1.0,108.0,1.3,As Expected,33.78926,-118.293
9339,2019,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,Kaiser Foundation Hospitals,IMI,GI Hemorrhage,11.0,152.0,6.7,Worse,33.78926,-118.293
9340,2019,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,Kaiser Foundation Hospitals,IMI,Carotid Endarterectomy,0.0,28.0,0.0,As Expected,33.78926,-118.293
9341,2019,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,Kaiser Foundation Hospitals,IMI,AMI,7.0,88.0,5.5,As Expected,33.78926,-118.293
9342,2019,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,Kaiser Foundation Hospitals,IMI,Acute Stroke Subarachnoid,0.0,6.0,0.0,As Expected,33.78926,-118.293
9343,2019,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,Kaiser Foundation Hospitals,IMI,Acute Stroke Ischemic,13.0,167.0,5.5,As Expected,33.78926,-118.293
9344,2019,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,Kaiser Foundation Hospitals,IMI,Acute Stroke Hemorrhagic,3.0,47.0,10.6,As Expected,33.78926,-118.293
9345,2019,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,Kaiser Foundation Hospitals,IMI,Acute Stroke,16.0,220.0,7.0,As Expected,33.78926,-118.293
9346,2019,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,Kaiser Foundation Hospitals,IMI,AAA Repair Endo Unrupture,0.0,16.0,0.0,As Expected,33.78926,-118.293
9348,2019,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,Kaiser Foundation Hospitals,IMI,Heart Failure,26.0,390.0,5.9,Worse,33.78926,-118.293
9349,2019,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,Kaiser Foundation Hospitals,PSI,Postoperative Sepsis,8.0,1780.0,0.48,As Expected,33.78926,-118.293
9350,2019,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,Kaiser Foundation Hospitals,IMI,Pneumonia,8.0,91.0,6.9,Worse,33.78926,-118.293
9351,2019,Los Angeles,Kaiser Foundation Hospital – Panorama City,106190432,Kaiser Foundation Hospitals,IMI,Carotid Endarterectomy,0.0,18.0,0.0,As Expected,34.2198,-118.431
9352,2019,Los Angeles,Kaiser Foundation Hospital – Panorama City,106190432,Kaiser Foundation Hospitals,IMI,Pancreatic Resection,0.0,13.0,0.0,As Expected,34.2198,-118.431
9353,2019,Los Angeles,Kaiser Foundation Hospital – Panorama City,106190432,Kaiser Foundation Hospitals,IMI,Pneumonia,5.0,97.0,4.6,As Expected,34.2198,-118.431
9354,2019,Los Angeles,Kaiser Foundation Hospital – Panorama City,106190432,Kaiser Foundation Hospitals,IMI,PCI,0.0,3.0,0.0,As Expected,34.2198,-118.431
9355,2019,Los Angeles,Kaiser Foundation Hospital – Panorama City,106190432,Kaiser Foundation Hospitals,IMI,Hip Fracture,4.0,148.0,2.4,As Expected,34.2198,-118.431
9356,2019,Los Angeles,Kaiser Foundation Hospital – Panorama City,106190432,Kaiser Foundation Hospitals,IMI,Heart Failure,18.0,215.0,7.2,Worse,34.2198,-118.431
9357,2019,Los Angeles,Kaiser Foundation Hospital – Panorama City,106190432,Kaiser Foundation Hospitals,IMI,GI Hemorrhage,6.0,147.0,2.8,As Expected,34.2198,-118.431
9358,2019,Los Angeles,Kaiser Foundation Hospital – Panorama City,106190432,Kaiser Foundation Hospitals,IMI,AMI,2.0,91.0,2.0,As Expected,34.2198,-118.431
9360,2019,Los Angeles,Kaiser Foundation Hospital – Panorama City,106190432,Kaiser Foundation Hospitals,IMI,Acute Stroke Ischemic,6.0,102.0,5.1,As Expected,34.2198,-118.431
9361,2019,Los Angeles,Kaiser Foundation Hospital – Panorama City,106190432,Kaiser Foundation Hospitals,IMI,Acute Stroke Hemorrhagic,1.0,25.0,6.8,As Expected,34.2198,-118.431
9362,2019,Los Angeles,Kaiser Foundation Hospital – Panorama City,106190432,Kaiser Foundation Hospitals,IMI,Acute Stroke,7.0,128.0,6.9,As Expected,34.2198,-118.431
9363,2019,Los Angeles,Kaiser Foundation Hospital – Panorama City,106190432,Kaiser Foundation Hospitals,IMI,AAA Repair Open Unrupture,0.0,4.0,0.0,As Expected,34.2198,-118.431
9365,2019,Los Angeles,Kaiser Foundation Hospital – Panorama City,106190432,Kaiser Foundation Hospitals,PSI,Postoperative Sepsis,5.0,1009.0,0.37,As Expected,34.2198,-118.431
9366,2019,Los Angeles,Kaiser Foundation Hospital – West LA,106190434,Kaiser Foundation Hospitals,IMI,Pneumonia,3.0,65.0,4.1,As Expected,34.03793,-118.375
9367,2019,Los Angeles,Kaiser Foundation Hospital – West LA,106190434,Kaiser Foundation Hospitals,IMI,PCI,0.0,4.0,0.0,As Expected,34.03793,-118.375
9368,2019,Los Angeles,Kaiser Foundation Hospital – West LA,106190434,Kaiser Foundation Hospitals,IMI,Pancreatic Resection,1.0,30.0,3.9,As Expected,34.03793,-118.375
9369,2019,Los Angeles,Kaiser Foundation Hospital – West LA,106190434,Kaiser Foundation Hospitals,IMI,Hip Fracture,4.0,110.0,5.4,Worse,34.03793,-118.375
9370,2019,Los Angeles,Kaiser Foundation Hospital – West LA,106190434,Kaiser Foundation Hospitals,IMI,Heart Failure,11.0,251.0,3.4,As Expected,34.03793,-118.375
9371,2019,Los Angeles,Kaiser Foundation Hospital – West LA,106190434,Kaiser Foundation Hospitals,IMI,GI Hemorrhage,2.0,159.0,0.9,As Expected,34.03793,-118.375
9372,2019,Los Angeles,Kaiser Foundation Hospital – West LA,106190434,Kaiser Foundation Hospitals,IMI,Carotid Endarterectomy,0.0,8.0,0.0,As Expected,34.03793,-118.375
9373,2019,Los Angeles,Kaiser Foundation Hospital – West LA,106190434,Kaiser Foundation Hospitals,IMI,AMI,5.0,123.0,3.8,As Expected,34.03793,-118.375
9375,2019,Los Angeles,Kaiser Foundation Hospital – West LA,106190434,Kaiser Foundation Hospitals,IMI,Acute Stroke Ischemic,4.0,170.0,2.1,Better,34.03793,-118.375
9376,2019,Los Angeles,Kaiser Foundation Hospital – West LA,106190434,Kaiser Foundation Hospitals,IMI,Acute Stroke Hemorrhagic,3.0,38.0,14.2,As Expected,34.03793,-118.375
9377,2019,Los Angeles,Kaiser Foundation Hospital – West LA,106190434,Kaiser Foundation Hospitals,IMI,Acute Stroke,7.0,210.0,4.2,Better,34.03793,-118.375
9379,2019,Los Angeles,Kaiser Foundation Hospital – West LA,106190434,Kaiser Foundation Hospitals,IMI,AAA Repair Endo Unrupture,0.0,4.0,0.0,As Expected,34.03793,-118.375
9380,2019,Los Angeles,Kaiser Foundation Hospital – West LA,106190434,Kaiser Foundation Hospitals,PSI,Postoperative Sepsis,5.0,1831.0,0.31,As Expected,34.03793,-118.375
9381,2019,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,Providence St. Joseph Health,IMI,Carotid Endarterectomy,0.0,12.0,0.0,As Expected,33.83891,-118.356
9382,2019,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,Providence St. Joseph Health,IMI,Acute Stroke Hemorrhagic,24.0,122.0,17.8,As Expected,33.83891,-118.356
9383,2019,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,Providence St. Joseph Health,IMI,Pneumonia,12.0,268.0,3.9,As Expected,33.83891,-118.356
9384,2019,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,Providence St. Joseph Health,IMI,PCI,10.0,268.0,3.6,As Expected,33.83891,-118.356
9385,2019,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,Providence St. Joseph Health,IMI,Hip Fracture,2.0,179.0,1.4,As Expected,33.83891,-118.356
9386,2019,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,Providence St. Joseph Health,IMI,Heart Failure,20.0,703.0,2.7,As Expected,33.83891,-118.356
9387,2019,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,Providence St. Joseph Health,IMI,GI Hemorrhage,16.0,415.0,3.5,As Expected,33.83891,-118.356
9388,2019,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,Providence St. Joseph Health,IMI,AMI,27.0,473.0,5.4,As Expected,33.83891,-118.356
9389,2019,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,Providence St. Joseph Health,IMI,Acute Stroke Subarachnoid,5.0,22.0,18.5,As Expected,33.83891,-118.356
9390,2019,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,Providence St. Joseph Health,IMI,Acute Stroke Ischemic,24.0,473.0,5.1,As Expected,33.83891,-118.356
9391,2019,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,Providence St. Joseph Health,IMI,Acute Stroke,53.0,617.0,8.2,As Expected,33.83891,-118.356
9394,2019,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,Providence St. Joseph Health,CABG,Isolated CABG Operative Mor,6.0,120.0,3.126016,As Expected,33.84,-118.36
9395,2019,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,Providence St. Joseph Health,IMI,Pancreatic Resection,0.0,8.0,0.0,As Expected,33.83891,-118.356
9396,2019,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,Providence St. Joseph Health,PSI,Postoperative Sepsis,6.0,1290.0,0.48,As Expected,33.83891,-118.356
9397,2019,Los Angeles,Cedars – Sinai Marina Del Rey Hospital,106190500,Cedars-Sinai Health System,IMI,Pneumonia,0.0,106.0,0.0,As Expected,33.98125,-118.439
9398,2019,Los Angeles,Cedars – Sinai Marina Del Rey Hospital,106190500,Cedars-Sinai Health System,IMI,AMI,1.0,8.0,5.7,As Expected,33.98125,-118.439
9402,2019,Los Angeles,Cedars – Sinai Marina Del Rey Hospital,106190500,Cedars-Sinai Health System,PSI,Postoperative Sepsis,2.0,1234.0,0.45,As Expected,33.98125,-118.439
9405,2019,Los Angeles,Cedars – Sinai Marina Del Rey Hospital,106190500,Cedars-Sinai Health System,IMI,Hip Fracture,0.0,67.0,0.0,As Expected,33.98125,-118.439
9406,2019,Los Angeles,Cedars – Sinai Marina Del Rey Hospital,106190500,Cedars-Sinai Health System,IMI,Heart Failure,2.0,192.0,0.9,As Expected,33.98125,-118.439
9407,2019,Los Angeles,Cedars – Sinai Marina Del Rey Hospital,106190500,Cedars-Sinai Health System,IMI,GI Hemorrhage,4.0,125.0,3.2,As Expected,33.98125,-118.439
9409,2019,Los Angeles,Cedars – Sinai Marina Del Rey Hospital,106190500,Cedars-Sinai Health System,IMI,Acute Stroke Ischemic,1.0,45.0,3.1,As Expected,33.98125,-118.439
9411,2019,Los Angeles,Cedars – Sinai Marina Del Rey Hospital,106190500,Cedars-Sinai Health System,IMI,Acute Stroke,2.0,46.0,7.6,As Expected,33.98125,-118.439
9413,2019,Los Angeles,Providence Cedars – Sinai Tarzana Medical Center,106190517,Providence St. Joseph Health,IMI,Heart Failure,20.0,486.0,2.6,As Expected,34.17067,-118.532
9414,2019,Los Angeles,Providence Cedars – Sinai Tarzana Medical Center,106190517,Providence St. Joseph Health,IMI,Pneumonia,3.0,154.0,1.5,As Expected,34.17067,-118.532
9415,2019,Los Angeles,Providence Cedars – Sinai Tarzana Medical Center,106190517,Providence St. Joseph Health,IMI,PCI,7.0,177.0,5.2,As Expected,34.17067,-118.532
9417,2019,Los Angeles,Providence Cedars – Sinai Tarzana Medical Center,106190517,Providence St. Joseph Health,IMI,Hip Fracture,1.0,100.0,1.1,As Expected,34.17067,-118.532
9418,2019,Los Angeles,Providence Cedars – Sinai Tarzana Medical Center,106190517,Providence St. Joseph Health,IMI,GI Hemorrhage,3.0,187.0,1.9,As Expected,34.17067,-118.532
9419,2019,Los Angeles,Providence Cedars – Sinai Tarzana Medical Center,106190517,Providence St. Joseph Health,IMI,Carotid Endarterectomy,1.0,60.0,1.4,As Expected,34.17067,-118.532
9420,2019,Los Angeles,Providence Cedars – Sinai Tarzana Medical Center,106190517,Providence St. Joseph Health,IMI,AMI,14.0,169.0,6.8,As Expected,34.17067,-118.532
9421,2019,Los Angeles,Providence Cedars – Sinai Tarzana Medical Center,106190517,Providence St. Joseph Health,IMI,Acute Stroke Ischemic,2.0,117.0,2.1,As Expected,34.17067,-118.532
9422,2019,Los Angeles,Providence Cedars – Sinai Tarzana Medical Center,106190517,Providence St. Joseph Health,IMI,Acute Stroke Hemorrhagic,3.0,24.0,15.1,As Expected,34.17067,-118.532
9423,2019,Los Angeles,Providence Cedars – Sinai Tarzana Medical Center,106190517,Providence St. Joseph Health,IMI,Acute Stroke,5.0,142.0,4.7,As Expected,34.17067,-118.532
9424,2019,Los Angeles,Providence Cedars – Sinai Tarzana Medical Center,106190517,Providence St. Joseph Health,IMI,AAA Repair Open Unrupture,0.0,3.0,0.0,As Expected,34.17067,-118.532
9425,2019,Los Angeles,Providence Cedars – Sinai Tarzana Medical Center,106190517,Providence St. Joseph Health,IMI,AAA Repair Endo Unrupture,0.0,17.0,0.0,As Expected,34.17067,-118.532
9426,2019,Los Angeles,Providence Cedars – Sinai Tarzana Medical Center,106190517,Providence St. Joseph Health,CABG,Isolated CABG Operative Mor,1.0,45.0,1.925537,As Expected,34.17,-118.53
9427,2019,Los Angeles,Providence Cedars – Sinai Tarzana Medical Center,106190517,Providence St. Joseph Health,PSI,Postoperative Sepsis,6.0,1155.0,0.64,As Expected,34.17067,-118.532
9428,2019,Los Angeles,Memorial Hospital of Gardena,106190521,Avanti Hospitals,IMI,Pneumonia,1.0,68.0,2.0,As Expected,33.89246,-118.294
9429,2019,Los Angeles,Memorial Hospital of Gardena,106190521,Avanti Hospitals,IMI,Heart Failure,3.0,311.0,1.9,As Expected,33.89246,-118.294
9432,2019,Los Angeles,Memorial Hospital of Gardena,106190521,Avanti Hospitals,IMI,Hip Fracture,0.0,27.0,0.0,As Expected,33.89246,-118.294
9433,2019,Los Angeles,Memorial Hospital of Gardena,106190521,Avanti Hospitals,IMI,GI Hemorrhage,3.0,148.0,2.6,As Expected,33.89246,-118.294
9435,2019,Los Angeles,Memorial Hospital of Gardena,106190521,Avanti Hospitals,IMI,AMI,1.0,50.0,1.5,As Expected,33.89246,-118.294
9436,2019,Los Angeles,Memorial Hospital of Gardena,106190521,Avanti Hospitals,IMI,Acute Stroke Ischemic,1.0,95.0,1.1,As Expected,33.89246,-118.294
9438,2019,Los Angeles,Memorial Hospital of Gardena,106190521,Avanti Hospitals,IMI,Acute Stroke,1.0,97.0,2.0,As Expected,33.89246,-118.294
9442,2019,Los Angeles,Memorial Hospital of Gardena,106190521,Avanti Hospitals,PSI,Postoperative Sepsis,1.0,99.0,1.02,As Expected,33.89246,-118.294
9443,2019,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,Dignity Health,CABG,Isolated CABG Operative Mor,0.0,79.0,0.0,As Expected,34.13,-118.26
9444,2019,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,Dignity Health,IMI,Pneumonia,3.0,269.0,1.0,As Expected,34.1284,-118.257
9445,2019,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,Dignity Health,IMI,PCI,4.0,126.0,4.1,As Expected,34.1284,-118.257
9447,2019,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,Dignity Health,IMI,Hip Fracture,2.0,80.0,5.6,As Expected,34.1284,-118.257
9448,2019,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,Dignity Health,IMI,Heart Failure,12.0,515.0,2.5,As Expected,34.1284,-118.257
9449,2019,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,Dignity Health,IMI,GI Hemorrhage,5.0,124.0,5.1,As Expected,34.1284,-118.257
9450,2019,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,Dignity Health,IMI,Carotid Endarterectomy,0.0,11.0,0.0,As Expected,34.1284,-118.257
9451,2019,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,Dignity Health,IMI,AMI,9.0,220.0,4.0,As Expected,34.1284,-118.257
9452,2019,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,Dignity Health,IMI,Acute Stroke Subarachnoid,0.0,3.0,0.0,As Expected,34.1284,-118.257
9453,2019,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,Dignity Health,IMI,Acute Stroke,4.0,114.0,8.3,As Expected,34.1284,-118.257
9454,2019,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,Dignity Health,IMI,Acute Stroke Hemorrhagic,2.0,15.0,24.2,As Expected,34.1284,-118.257
9455,2019,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,Dignity Health,IMI,Acute Stroke Ischemic,2.0,96.0,4.3,As Expected,34.1284,-118.257
9456,2019,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,Dignity Health,IMI,AAA Repair Endo Unrupture,0.0,12.0,0.0,As Expected,34.1284,-118.257
